contrast_id	ENSEMBL	SYMBOL	GENENAME	ENTREZID	log2fc_isst_flight_vs_gc	stat_isst_flight_vs_gc	pvalue_isst_flight_vs_gc	padj_isst_flight_vs_gc	group_mean_isst_gc	group_stdev_isst_gc	group_mean_isst_flight	group_stdev_isst_flight
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110622	Iqcn	IQ motif containing N	637079	-0.54170637697423	-0.836321650549561	0.402973976371981	0.93414324897148	4.15608874441959	3.29649352816832	3.12776063268034	1.72627003059124
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110626				0.525360351062497	2.08925144870033	0.036685094346015	0.453477245760855	26.949465826972	16.9510644862167	37.4675819868689	11.2174311312473
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110629	4930567H12Rik	RIKEN cDNA 4930567H12 gene	75930	0.186952009739285	0.506508104574549	0.612500001652498	0.975706367086468	16.1623801618313	10.9482192614143	18.3717463683034	5.66613161320862
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110630				-0.452186364260936	-1.91153979683727	0.055935247602443	0.547363167972591	24.430581007407	7.442054698267	18.0950007010396	6.58044276041768
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110631				0.467670703674879	1.44399193517131	0.148741243931533	0.755131649477092	551.034911789792	242.989840434072	761.678353919335	254.20606059735
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110635				0.161700998348344	0.483867363762085	0.628480003476316	0.977743008208172	306.485091496175	200.901565398933	342.288513476867	210.282137088255
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110636				-0.130170977004296	-0.160472090495112	0.872509205255945		2.68961357057102	2.72916949701702	2.61384411252224	1.5231555075927
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110637	Gm7807	ribosomal protein S7 pseudogene	665822	0.46268692991878	0.591788910828732	0.553991949800962	0.965476629364294	2.04886451323951	1.32865769218799	2.27930112727038	1.70514057430925
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110638				0.169422558164792	0.262398063341285	0.793014565618355		2.89874407986105	1.52060095590926	3.18964308623113	1.79913123076172
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000110639				0.541463757958307	0.249534345168395	0.802947477336324		1.2755787057231	0.444975423120117	1.52106787748646	0.777870161751292
